support,itemsets
0.010843475559822664,frozenset({'0725765883117'})
0.008076130234659588,frozenset({'4800234406465'})
0.006466551831248411,frozenset({'4800281329632'})
0.008443227063507752,frozenset({'4800304010219'})
0.007384293903368819,frozenset({'4800308100473'})
0.007059554400926213,frozenset({'4800308991491'})
0.011761217631943072,frozenset({'4800602020934'})
0.0070030779657188034,frozenset({'4800602087937'})
0.009106825177194815,frozenset({'4801981107971'})
0.005449975997515037,frozenset({'4801981126866'})
0.005252308474289103,frozenset({'4801981164707'})
0.006763053116087312,frozenset({'4801981164714'})
0.006155931437607658,frozenset({'4806033304131'})
0.018990201338491514,frozenset({'4806502351901'})
0.0069466015305113945,frozenset({'4806502352588'})
0.005619405303137266,frozenset({'4806504260614'})
0.00576059639115579,frozenset({'4806533602379'})
0.007906700929037358,frozenset({'4807788048462'})
0.005068760059865021,frozenset({'4807788079466'})
0.007313698359359557,frozenset({'4807788331083'})
0.0058453110439669045,frozenset({'4807788407375'})
0.011012904865444893,frozenset({'4807788526762'})
0.005520571541524299,frozenset({'480778853619'})
0.006000621240787282,frozenset({'4807788559593'})
0.024821393273656567,frozenset({'4807788561688'})
0.005492333323920594,frozenset({'4807788562593'})
0.007299579250557704,frozenset({'4809013625080'})
0.005308784909496512,frozenset({'8904186000521'})
0.019230226188123006,frozenset({'8996001600269'})
0.0064100753960410015,frozenset({'8996001600375'})
0.012650721486459775,frozenset({'8996001600399'})
0.008457346172309603,frozenset({'98057740'})
