sku,model,horizon,mape,smape,mae,rmse,rmsle,mase,wmape,mdape,r2,source
ALL,sarima_ets_hw_results,,,,,,,,,,,sarima_ets_hw_results
ALL,sarima_ets_hw_results,,,,,,,,,,,sarima_ets_hw_results
ALL,sarima_ets_hw_results,,,,,,,,,,,sarima_ets_hw_results
ALL,sarima_ets_hw_results,,,,,,,,,,,sarima_ets_hw_results
ALL,sarima_ets_hw_90_10_results,,,,,,,,,,,sarima_ets_hw_90_10_results
ALL,sarima_ets_hw_90_10_results,,,,,,,,,,,sarima_ets_hw_90_10_results
ALL,sarima_ets_hw_90_10_results,,,,,,,,,,,sarima_ets_hw_90_10_results
ALL,sarima_ets_hw_90_10_results,,,,,,,,,,,sarima_ets_hw_90_10_results
ALL,sarima_ets_hw_90_10_results,,,,,,,,,,,sarima_ets_hw_90_10_results
ALL,sarima_ets_random_results,,,,,,,,,,,sarima_ets_random_results
ALL,sarima_ets_random_results,,,,,,,,,,,sarima_ets_random_results
ALL,sarima_ets_random_results,,,,,,,,,,,sarima_ets_random_results
ALL,sarima_ets_random_results,,,,,,,,,,,sarima_ets_random_results
ALL,sarima_ets_random_results,,,,,,,,,,,sarima_ets_random_results
ALL,sarima_ets_holts_random_test,,,,,,,,,,,sarima_ets_holts_random_test
ALL,sarima_ets_holts_random_test,,,,,,,,,,,sarima_ets_holts_random_test
ALL,sarima_ets_holts_random_test,,,,,,,,,,,sarima_ets_holts_random_test
ALL,sarima_ets_holts_random_test,,,,,,,,,,,sarima_ets_holts_random_test
ALL,sarima_ets_holts_random_test,,,,,,,,,,,sarima_ets_holts_random_test
4807788561688,xgb_results,,,,,,,,,,,xgb_results
4806533602379,xgb_results,,,,,,,,,,,xgb_results
4806504260614,xgb_results,,,,,,,,,,,xgb_results
725765883117,xgb_results,,,,,,,,,,,xgb_results
4807788561688,rf_results_summary,,,,228.16583333333327,286.61083387365176,,,,,,rf_results_summary
4806533602379,rf_results_summary,,,,291.65833333333336,422.374445481534,,,,,,rf_results_summary
4806504260614,rf_results_summary,,,,134.97166666666666,150.81828910701333,,,,,,rf_results_summary
725765883117,rf_results_summary,,,,86.20333333333333,88.8181731591758,,,,,,rf_results_summary
4807788561688,lstm_results,,,,,,,,,,,lstm_results
4806533602379,lstm_results,,,,,,,,,,,lstm_results
4806504260614,lstm_results,,,,,,,,,,,lstm_results
725765883117,lstm_results,,,,,,,,,,,lstm_results
4807788561688,gb_results,,,,,,,,,,,gb_results
4806533602379,gb_results,,,,,,,,,,,gb_results
4806504260614,gb_results,,,,,,,,,,,gb_results
725765883117,gb_results,,,,,,,,,,,gb_results
4807788561688,et_results,,,,,,,,,,,et_results
4806533602379,et_results,,,,,,,,,,,et_results
4806504260614,et_results,,,,,,,,,,,et_results
725765883117,et_results,,,,,,,,,,,et_results
